"id","Test","RequestIdentifier","UIPrepaidCardNumber","UIDateOfBirth","PrepaidCardNumber","CustomerID","PrepaidCardStatus","DirectDepositEnrolled","PrepaidProgramPayFrequencyCode1","PrepaidProgramPayFrequencyCode2","OverDraftProductExists","CreditProductExists","FirstName","Middle Initial","LastName","HomePhone","WorkPhone","MobilePhone","Email","SMSEnrolled","MarketingOptIn","Address1","Address2","City","State","Zip","SSN","EmploymentStatus","EmployerName","EmployerPhone","UITakeHomePay","MonthlyIncome","RentOrOwn","MonthlyHousingPayment","PromoCode","SourceQueryString","IPAddress","AddressDifference","ApplicationID","Esignature","EmailEnrolled","Security Questions","ApplicationStatus","DistributionMethod","NoPreviousChargeOff","DirectDepositSource","Stated Paydate Frequency Code1","Stated Paydate Frequency Code2","Calc'd Paydate Frequency Code1","Calc'd Paydate Frequency Code2","Avg DD Amt 1","DD Count 1","DD Delinq 1","Advances 1","Avg Advance 1","Avg LOC 1","Avg DD Amt 1-6","DD Count 1-6","DD Delinq 1-6","Advances 1-6","Avg Advance 1-6","Avg LOC 1-6","Avg DD Amt 1-12","DD Count 1-12","DD Delinq 1-12","Advances 1-12","Avg Advance 1-12","Avg LOC 1-12","Avg DD Amt 1-24","DD Count 1-24","DD Delinq 1-24","Advances 1-24","Avg Advance 1-24","Avg LOC 1-24","Avg DD Amt 1-36","DD Count 1-36","DD Delinq 1-36","Advances 1-36","Avg Advance 1-36","Avg LOC 1-36","Avg DD Amt Total","DD Count Total","DD Delinq Total","Advances Total","Avg Advance Total","Avg LOC Total","# Transactions 1","# Cash Trans 1","Avg Cash Tran 1","Avg Transaction 1","# Loads 1","Avg Load 1","# Transactions 1-6","# Cash Trans 1-6","Avg Cash Tran 1-6","Avg Transaction 1-6","# Loads 1-6","Avg Load 1-6","# Transactions 1-12","# Cash Trans 1-12","Avg Cash Tran 1-12","Avg Transaction 1-12","# Loads 1-12","Avg Load 1-12","# Transactions 1-24","# Cash Trans 1-24","Avg Cash Tran 1-24","Avg Transaction 1-24","# Loads 1-24","Avg Load 1-24","# Transactions 1-36","# Cash Trans 1-36","Avg Cash Tran 1-36","Avg Transaction 1-36","# Loads 1-36","Avg Load 1-36","# Transactions Total","# Cash Trans Total","Avg Cash Tran Total","Avg Transaction Total","# Loads Total","Avg Load Total","NumConsecutiveGoodPayments","AbilityToPayCreditLine","CurrentDate","DateOpened","Days from DateOpened","Initial Tier","Initial Limit","Initial DDLevel","Initial # of Installments","Current Tier","Current Limit","Current DDLevel","Current # of Repayments","Current Block Code1","Current Block Code2","Change","New Tier","New Limit","New DDLevel","New # Repayments","New Block Code1","New Block Code2","NOAA Reason1","NOAA Reason2","NOAA Reason3","NOAA Reason4","Change","Tier","DDLevel","Repayments","LOC","Block Code 1","Block Code 2","NOAA Reason1","NOAA Reason2","NOAA Reason3","NOAA Reason4"
11,"6 DD's (Credit Product)","R","1034567812345678","3/5/1990","1034567812345678",11111111121,"Active","TRUE",61,75,"FALSE","TRUE","Brain",,"Dead",6054222220,,,"BrainDead@sio.midco.net",,,"400 Fourth St",,"Sioux Falls","SD",57102,423456789,,,,600,1200,"Rent",600,,"http://www.blackhawknetwork.com","123.123.123",,4,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1200,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Declined Ineligible",,,,,,,"Credit Product",,,
12,"6 DD's (ODP Product)","R","1034567812345678","3/5/1990","1034567812345678",11111111122,"Active","TRUE",61,75,"TRUE","FALSE","Brain",,"Dead",6054222220,,,"BrainDead@sio.midco.net",,,"400 Fourth St",,"Sioux Falls","SD",57102,423456789,,,,600,1200,"Rent",600,,"http://www.blackhawknetwork.com","123.123.123",,4,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1200,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Declined Ineligible",,,,,,,"OD Product",,,
13,"6 DD's (Previous Charge Off)","R","1034567812345678","3/5/1990","1034567812345678",11111111123,"Active","TRUE",61,75,"FALSE","FALSE","Brain",,"Dead",6054222220,,,"BrainDead@sio.midco.net",,,"400 Fourth St",,"Sioux Falls","SD",57102,423456789,,,,600,1200,"Rent",600,,"http://www.blackhawknetwork.com","123.123.123",,4,"TRUE","TRUE",,"Submitted","PrepaidCard","FALSE",,61,75,61,75,,,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1200,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Declined Ineligible",,,,,,,"Prev CO",,,
14,"1 DD (Low Direct Deposit)","R","1034567812345678","3/5/1990","1034567812345678",11111111124,"Active","TRUE",61,75,"FALSE","FALSE","Brain",,"Dead",6054222220,,,"BrainDead@sio.midco.net",,,"400 Fourth St",,"Sioux Falls","SD",57102,423456789,,,,600,1200,"Rent",600,,"http://www.blackhawknetwork.com","123.123.123",,4,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1200,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Pending DD",,,,,,,"Low DD",,,
15,"6 DD's","R","1034567812345678","3/5/1990","1034567812345678",11111111125,"Active","TRUE",61,75,"TRUE","FALSE","Brain",,"Dead",6054222220,,,"BrainDead@sio.midco.net",,,"400 Fourth St",,"Sioux Falls","SD",57102,423456789,,,,600,1200,"Rent",600,,"http://www.blackhawknetwork.com","123.123.123",,4,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1200,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Declined Ineligible",,,,,,,"OD Product",,,
16,"1 DD - level 1","R","1234567812345678","1/2/1980","1234567812345678",11111111126,"Active","TRUE",61,75,"FALSE","FALSE","Joe",,"Blow",6051234567,,,"joeblow@sio.midco.net",,,"123 Main St",,"Sioux Falls","SD",57102,123456789,,,,1500,3000,"Rent",1000,,"http://www.blackhawknetwork.com","123.123.123",,1,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1200,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",1,250,1,100,,,,,,
17,"1 DD - level 2","R","1234567812345678","1/2/1980","1234567812345678",11111111127,"Active","TRUE",61,75,"FALSE","FALSE","Joe",,"Blow",6051234567,,,"joeblow@sio.midco.net",,,"123 Main St",,"Sioux Falls","SD",57102,123456789,,,,1500,3000,"Rent",1000,,"http://www.blackhawknetwork.com","123.123.123",,1,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1200,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",1,375,1,100,,,,,,
18,"1 DD - level 3","R","1234567812345678","1/2/1980","1234567812345678",11111111128,"Active","TRUE",61,75,"FALSE","FALSE","Joe",,"Blow",6051234567,,,"joeblow@sio.midco.net",,,"123 Main St",,"Sioux Falls","SD",57102,123456789,,,,1500,3000,"Rent",1000,,"http://www.blackhawknetwork.com","123.123.123",,1,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1200,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",1,500,1,100,,,,,,
19,"1 DD - level 4","R","1234567812345678","1/2/1980","1234567812345678",11111111129,"Active","TRUE",61,75,"FALSE","FALSE","Joe",,"Blow",6051234567,,,"joeblow@sio.midco.net",,,"123 Main St",,"Sioux Falls","SD",57102,123456789,,,,1500,3000,"Rent",1000,,"http://www.blackhawknetwork.com","123.123.123",,1,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1200,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",1,625,1,100,,,,,,
20,"1 DD - level 5","R","1234567812345678","1/2/1980","1234567812345678",11111111130,"Active","TRUE",61,75,"FALSE","FALSE","Joe",,"Blow",6051234567,,,"joeblow@sio.midco.net",,,"123 Main St",,"Sioux Falls","SD",57102,123456789,,,,1500,3000,"Rent",1000,,"http://www.blackhawknetwork.com","123.123.123",,1,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1200,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",1,750,1,100,,,,,,
21,"1 DD - level 6","R","1234567812345678","1/2/1980","1234567812345678",11111111131,"Active","TRUE",61,75,"FALSE","FALSE","Joe",,"Blow",6051234567,,,"joeblow@sio.midco.net",,,"123 Main St",,"Sioux Falls","SD",57102,123456789,,,,1500,3000,"Rent",1000,,"http://www.blackhawknetwork.com","123.123.123",,1,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1200,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",1,1000,1,100,,,,,,
22,"1 DD - level 7","R","1234567812345678","1/2/1980","1234567812345678",11111111132,"Active","TRUE",61,75,"FALSE","FALSE","Joe",,"Blow",6051234567,,,"joeblow@sio.midco.net",,,"123 Main St",,"Sioux Falls","SD",57102,123456789,,,,1500,3000,"Rent",1000,,"http://www.blackhawknetwork.com","123.123.123",,1,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1200,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",1,1250,1,100,,,,,,
23,"2 DD's - level 1","R","2234567812345678","1/3/1965","2234567812345678",11111111133,"Active","TRUE",61,75,"FALSE","FALSE","Jane",,"Doe",6052234567,,,"janedoe@sio.midco.net",,,"223 First St",,"Sioux Falls","SD",57102,223456789,,,,2000,4000,"Rent",1000,,"http://www.blackhawknetwork.com","123.123.123",,2,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1200,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",2,250,1,100,,,,,,
24,"2 DD's - level 2","R","2234567812345678","1/3/1965","2234567812345678",11111111134,"Active","TRUE",61,75,"FALSE","FALSE","Jane",,"Doe",6052234567,,,"janedoe@sio.midco.net",,,"223 First St",,"Sioux Falls","SD",57102,223456789,,,,2000,4000,"Rent",1000,,"http://www.blackhawknetwork.com","123.123.123",,2,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1200,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",2,375,1,150,,,,,,
25,"2 DD's - level 3","R","2234567812345678","1/3/1965","2234567812345678",11111111135,"Active","TRUE",61,75,"FALSE","FALSE","Jane",,"Doe",6052234567,,,"janedoe@sio.midco.net",,,"223 First St",,"Sioux Falls","SD",57102,223456789,,,,2000,4000,"Rent",1000,,"http://www.blackhawknetwork.com","123.123.123",,2,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1200,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",2,500,1,200,,,,,,
26,"2 DD's - level 4","R","2234567812345678","1/3/1965","2234567812345678",11111111136,"Active","TRUE",61,75,"FALSE","FALSE","Jane",,"Doe",6052234567,,,"janedoe@sio.midco.net",,,"223 First St",,"Sioux Falls","SD",57102,223456789,,,,2000,4000,"Rent",1000,,"http://www.blackhawknetwork.com","123.123.123",,2,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1200,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",2,625,1,250,,,,,,
27,"2 DD's - level 5","R","2234567812345678","1/3/1965","2234567812345678",11111111137,"Active","TRUE",61,75,"FALSE","FALSE","Jane",,"Doe",6052234567,,,"janedoe@sio.midco.net",,,"223 First St",,"Sioux Falls","SD",57102,223456789,,,,2000,4000,"Rent",1000,,"http://www.blackhawknetwork.com","123.123.123",,2,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1200,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",2,750,1,300,,,,,,
28,"2 DD's - level 6","R","2234567812345678","1/3/1965","2234567812345678",11111111138,"Active","TRUE",61,75,"FALSE","FALSE","Jane",,"Doe",6052234567,,,"janedoe@sio.midco.net",,,"223 First St",,"Sioux Falls","SD",57102,223456789,,,,2000,4000,"Rent",1000,,"http://www.blackhawknetwork.com","123.123.123",,2,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1200,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",2,1000,1,400,,,,,,
29,"2 DD's - level 7","R","2234567812345678","1/3/1965","2234567812345678",11111111139,"Active","TRUE",61,75,"FALSE","FALSE","Jane",,"Doe",6052234567,,,"janedoe@sio.midco.net",,,"223 First St",,"Sioux Falls","SD",57102,223456789,,,,2000,4000,"Rent",1000,,"http://www.blackhawknetwork.com","123.123.123",,2,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1200,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",2,1250,1,500,,,,,,
30,"6 DD's - level 1","R","4234567812345678","3/5/1990","4234567812345678",11111111140,"Active","TRUE",61,75,"FALSE","FALSE","Brain",,"Dead",6054222220,,,"BrainDead@sio.midco.net",,,"400 Fourth St",,"Sioux Falls","SD",57102,423456789,,,,1400,2800,"Rent",600,,"http://www.blackhawknetwork.com","123.123.123",,4,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,880,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",2,250,1,100,,,,,,
31,"6 DD's - level 2","R","4234567812345678","3/5/1990","4234567812345678",11111111141,"Active","TRUE",61,75,"FALSE","FALSE","Brain",,"Dead",6054222220,,,"BrainDead@sio.midco.net",,,"400 Fourth St",,"Sioux Falls","SD",57102,423456789,,,,1400,2800,"Rent",600,,"http://www.blackhawknetwork.com","123.123.123",,4,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,880,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",2,375,1,150,,,,,,
32,"6 DD's - level 3","R","4234567812345678","3/5/1990","4234567812345678",11111111142,"Active","TRUE",61,75,"FALSE","FALSE","Brain",,"Dead",6054222220,,,"BrainDead@sio.midco.net",,,"400 Fourth St",,"Sioux Falls","SD",57102,423456789,,,,1400,2800,"Rent",600,,"http://www.blackhawknetwork.com","123.123.123",,4,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,880,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",2,500,1,200,,,,,,
